feature,mean_abs_z,mean_z,max_abs_z,n_events
prof__delta_ratio_sun_over_plant_diff_0_minus_1,1.9113457681523571,-0.4587688676447259,3.2463847916045157,5
prof__delta_ratio_sun_over_plant_island1,1.9113457004573415,0.4587689209145533,3.2463850061990156,5
prof__delta_sun_mean_island1,1.9113457004573415,0.45876892091455374,3.246385006199016,5
env__err_abs_std_island1,1.5316000123928804,0.5399547145264125,2.2674502344187704,5
env__err_signed_std_island1,1.5316000123928804,0.5399547145264125,2.2674502344187704,5
prof__y_mix_std_island1,1.531599992676026,0.5399547146348331,2.2674501323903526,5
prof__attn_mean_4_diff_0_minus_1,1.4378175615231312,0.0646117876050007,2.626466735843799,5
prof__y_stat_mean_island0,1.4032491445922024,0.1259669662581805,3.0923982410431994,5
env__err_abs_p90_diff_0_minus_1,1.3372081775623648,0.47750193246250905,2.446831666411774,5
prof__attn_mean_1_island1,1.318689394560369,-0.3353723646198024,2.34728438652444,5
prof__attn_mean_4_island1,1.2843617220228227,0.20003685734003485,3.0622659799163796,5
prof__y_stat_mean_island1,1.2809844208796661,-0.2529788981607061,2.5875575074625448,5
env__err_abs_max_diff_0_minus_1,1.2646143983420393,0.46728718785077233,2.4843305246751606,5
prof__y_mix_std_diff_0_minus_1,1.2592552732774955,0.35562017221701353,2.7098098992300126,5
prof__attn_mean_0_island0,1.2419642797650337,0.045941140192349614,2.2658831266714983,5
prof__attn_mass_0_2_island1,1.2401874455212092,-0.5340756689704854,2.561038837650954,5
prof__attn_mean_2_island1,1.2378106726988398,-0.2122378845186436,2.034199606549212,5
env__err_signed_max_diff_0_minus_1,1.200517939865264,0.5194614034214108,2.1756679079921333,5
env__err_abs_max_island0,1.1943872954601118,-0.30540877911149067,2.2224462908715528,5
prof__y_mix_std_island0,1.1821790365102605,0.4305218192009789,3.0211791844768205,5
env__err_abs_p75_diff_0_minus_1,1.170783602961674,0.5715029888324002,2.6654054573040424,5
env__err_abs_std_diff_0_minus_1,1.155352625402556,-0.36611146466549715,1.9731029018426471,5
env__err_signed_p90_island0,1.1330489624849327,0.560276272179019,3.9547978209359886,5
prof__attn_mean_4_island0,1.127373161631891,0.21601953848478433,2.8590876939970684,5
prof__attn_mass_0_2_island0,1.1099955005796098,-0.4154129623004879,1.7950856717789287,5
env__err_signed_min_island0,1.0785422535156965,0.002623343858290483,2.4186212527549245,5
prof__delta_ratio_sun_over_plant_island0,1.0720931690514386,0.5686310605124973,2.7748454895806223,5
prof__attn_mean_6_diff_0_minus_1,1.0540066209017558,-0.07398519656370947,2.056926969187792,5
prof__attn_mass_6_diff_0_minus_1,1.0540066209017558,-0.07398519656370947,2.056926969187792,5
threshold_diff,1.0389605926417547,0.7710730394996199,2.513331687741886,5
env__err_abs_mean_diff_0_minus_1,1.008971996126403,0.6181537358711713,2.5624692627834675,5
prof__attn_mean_3_island1,1.0070863671389803,0.44464558326106707,1.7309808877442752,5
prof__delta_sun_mean_diff_0_minus_1,1.0010216073764917,0.6088765812274866,2.2693361095107663,5
env__err_abs_p50_diff_0_minus_1,0.9900852796398091,0.6264003026240623,2.518536628828313,5
prof__delta_sun_mean_island0,0.9490206685433897,0.6281255373720281,2.4502912212673027,5
env__err_abs_std_island0,0.9371205714608261,-0.25602542310817655,1.7027378708816239,5
env__err_signed_p10_island0,0.9134026814552069,0.5263512148506655,1.171983746858167,5
env__err_abs_max_island1,0.9133528389514268,-0.6354720906905953,2.543994399534592,5
env__err_signed_max_island1,0.9133528389514268,-0.6354720906905953,2.543994399534592,5
env__err_signed_p90_diff_0_minus_1,0.9064934307177561,0.6535209368594054,3.034863734886277,5
env__err_signed_std_diff_0_minus_1,0.9005339700207815,-0.4073313837510019,1.539237531146658,5
env__err_abs_p25_diff_0_minus_1,0.8957862371250489,0.6468637175027018,2.44228478471369,5
env__err_signed_p25_island0,0.8846993220075643,0.6402891878799091,2.0301237038286755,5
env__err_abs_p90_island1,0.8770152011730421,-0.6407385415817319,2.507021124296171,5
env__err_signed_p90_island1,0.8770152011730421,-0.6407385415817319,2.507021124296171,5
prof__corr_y_mix_true_island0,0.8701738177520312,0.2466034251045787,1.5535191250448788,5
prof__corr_y_mix_true_diff_0_minus_1,0.8701738177520312,0.2466034251045787,1.5535191250448788,5
env__err_signed_max_island0,0.8658114792029907,-0.6381770744434967,2.459790990165655,5
env__err_abs_p90_island0,0.8607532230421358,-0.5124213088782861,1.1803028470030452,5
env__err_abs_p75_island1,0.8440152340593311,-0.6479427456684232,2.497925867030036,5
env__err_signed_p75_island1,0.8440152340593311,-0.6479427456684232,2.497925867030036,5
env__err_signed_p75_island0,0.8328194833398967,0.6415635417882297,3.4594997389272852,5
threshold_prev,0.830635456635809,-0.775003065592198,2.4033086062544884,5
env__err_signed_mean_island0,0.8253871937700904,0.6927562786385983,2.8686539859158966,5
prof__y_mix_mean_island0,0.8253866905811307,0.6927563933794041,2.8686527826995114,5
env__err_abs_mean_island1,0.8190805194147769,-0.654716674775056,2.549611933539098,5
env__err_signed_mean_island1,0.8190805194147769,-0.654716674775056,2.549611933539098,5
prof__y_mix_mean_island1,0.8190805184608638,-0.6547166769696168,2.549611992921613,5
env__err_signed_p75_diff_0_minus_1,0.8144814857331047,0.6611500699877707,2.8731170231664533,5
env__err_abs_p50_island1,0.8135144206074474,-0.6545604565954315,2.505859223462725,5
env__err_signed_p50_island1,0.8135144206074474,-0.6545604565954315,2.505859223462725,5
prof__attn_mean_5_diff_0_minus_1,0.8052115958122087,-0.42963099332971255,1.0362190699911236,5
