event_epoch,pre_epoch,feature,pre,post,diff,zscore,abs_z
200,0,env__err_abs_max_island0,0.6034417152404785,0.478083074092865,-0.12535864114761353,-1.2658102086681187,1.2658102086681187
200,0,env__err_abs_max_island1,0.6620312929153442,0.2245543003082275,-0.4374769926071167,-2.543994399534592,2.543994399534592
200,0,env__err_abs_mean_island0,0.2742508058535292,0.13475403395739,-0.13949677189613918,-2.1510255061895203,2.1510255061895203
200,0,env__err_abs_mean_island1,0.6605730823734227,0.1791204654556863,-0.48145261691773644,-2.549611933539098,2.549611933539098
200,0,env__err_abs_min_island0,0.0058400630950927,0.0007573366165161,-0.0050827264785765994,-3.029369881034114,3.029369881034114
200,0,env__err_abs_min_island1,0.6589252352714539,0.1359871476888656,-0.5229380875825882,-2.685413701850143,2.685413701850143
200,0,env__err_abs_p10_island0,0.1247120797634124,0.02200847864151,-0.10270360112190241,-3.0121815187304706,3.0121815187304706
200,0,env__err_abs_p10_island1,0.6593920588493347,0.147522822022438,-0.5118692368268967,-2.6325041388796433,2.6325041388796433
200,0,env__err_abs_p25_island0,0.2324618101119995,0.0583713799715042,-0.1740904301404953,-2.8036291978380565,2.8036291978380565
200,0,env__err_abs_p25_island1,0.6599956154823303,0.1593683063983917,-0.5006273090839386,-2.585369531143581,2.585369531143581
200,0,env__err_abs_p50_island0,0.2873944640159607,0.1226404309272766,-0.16475403308868408,-2.2980081796364398,2.2980081796364398
200,0,env__err_abs_p50_island1,0.6605311632156372,0.180843286216259,-0.4796878769993782,-2.505859223462725,2.505859223462725
200,0,env__err_abs_p75_island0,0.3317252397537231,0.198065385222435,-0.1336598545312881,-1.654911598725361,1.654911598725361
200,0,env__err_abs_p75_island1,0.6611396968364716,0.1957298703491687,-0.4654098264873029,-2.497925867030036,2.497925867030036
200,0,env__err_abs_p90_island0,0.3768190145492553,0.2665081918239593,-0.11031082272529602,-1.1599158850015878,1.1599158850015878
200,0,env__err_abs_p90_island1,0.6616708636283875,0.2114508002996444,-0.4502200633287431,-2.507021124296171,2.507021124296171
200,0,env__err_abs_std_island0,0.0958790967739777,0.0938311958610622,-0.0020479009129154985,-0.09765143488805274,0.09765143488805274
200,0,env__err_abs_std_island1,0.0007850969760155,0.0234102373811643,0.0226251404051488,2.2674502344187704,2.2674502344187704
200,0,env__err_signed_max_island0,0.6034417152404785,0.3700782656669616,-0.2333634495735169,-2.459790990165655,2.459790990165655
200,0,env__err_signed_max_island1,0.6620312929153442,0.2245543003082275,-0.4374769926071167,-2.543994399534592,2.543994399534592
200,0,env__err_signed_mean_island0,-0.2392309119409703,-0.037672904894707,0.20155800704626328,2.8686539859158966,2.8686539859158966
200,0,env__err_signed_mean_island1,0.6605730823734227,0.1791204654556863,-0.48145261691773644,-2.549611933539098,2.549611933539098
200,0,env__err_signed_min_island0,-0.4534056186676025,-0.478083074092865,-0.024677455425262507,-0.2711760213885904,0.2711760213885904
200,0,env__err_signed_min_island1,0.6589252352714539,0.1359871476888656,-0.5229380875825882,-2.685413701850143,2.685413701850143
200,0,env__err_signed_p10_island0,-0.3715201616287231,-0.2442371249198913,0.1272830367088318,1.171983746858167,1.171983746858167
200,0,env__err_signed_p10_island1,0.6593920588493347,0.147522822022438,-0.5118692368268967,-2.6325041388796433,2.6325041388796433
200,0,env__err_signed_p25_island0,-0.3266595304012298,-0.1469560116529464,0.17970351874828341,2.0301237038286755,2.0301237038286755
200,0,env__err_signed_p25_island1,0.6599956154823303,0.1593683063983917,-0.5006273090839386,-2.585369531143581,2.585369531143581
200,0,env__err_signed_p50_island0,-0.2831211984157562,-0.0475790798664093,0.23554211854934692,2.7484977624786717,2.7484977624786717
200,0,env__err_signed_p50_island1,0.6605311632156372,0.180843286216259,-0.4796878769993782,-2.505859223462725,2.505859223462725
200,0,env__err_signed_p75_island0,-0.2234267741441726,0.0816252380609512,0.3050520122051238,3.4594997389272852,3.4594997389272852
200,0,env__err_signed_p75_island1,0.6611396968364716,0.1957298703491687,-0.4654098264873029,-2.497925867030036,2.497925867030036
200,0,env__err_signed_p90_island0,-0.066091388463974,0.1798338890075683,0.2459252774715423,3.9547978209359886,3.9547978209359886
200,0,env__err_signed_p90_island1,0.6616708636283875,0.2114508002996444,-0.4502200633287431,-2.507021124296171,2.507021124296171
200,0,env__err_signed_std_island0,0.1648480405749356,0.159823950712341,-0.0050240898625945885,-0.131944692144177,0.131944692144177
200,0,env__err_signed_std_island1,0.0007850969760155,0.0234102373811643,0.0226251404051488,2.2674502344187704,2.2674502344187704
200,0,env__plant_max_island0,1.0,1.0,0.0,,
200,0,env__plant_max_island1,0.0,0.0,0.0,,
200,0,env__plant_mean_island0,1.0,1.0,0.0,,
200,0,env__plant_mean_island1,0.0,0.0,0.0,,
200,0,env__plant_min_island0,1.0,1.0,0.0,,
200,0,env__plant_min_island1,0.0,0.0,0.0,,
200,0,env__plant_p10_island0,1.0,1.0,0.0,,
200,0,env__plant_p10_island1,0.0,0.0,0.0,,
200,0,env__plant_p25_island0,1.0,1.0,0.0,,
