mode_id,epoch_start,epoch_end,n_points,threshold_level,threshold_min,threshold_max
0,0,0,1,0.1292986571788787,0.1292986571788787,0.1292986571788787
1,200,2000,10,0.040765554644167354,0.0376338977366685,0.0498880045488476
