mode_id,epoch_start,epoch_end,n_points,threshold_level,threshold_min,threshold_max
0,0,0,1,0.4674119353294372,0.4674119353294372,0.4674119353294372
1,200,200,1,0.1569372490048408,0.1569372490048408,0.1569372490048408
2,400,400,1,0.0901277614757418,0.0901277614757418,0.0901277614757418
3,600,600,1,0.1045016534626483,0.1045016534626483,0.1045016534626483
4,800,800,1,0.0669326409697532,0.0669326409697532,0.0669326409697532
5,1000,2000,6,0.04925561929121605,0.0424670781940221,0.0554772466421127
