epoch,island,n,y_mix_mean,y_mix_std,corr_y_mix_true,y_stat_mean,y_sem_mean,delta_sun_mean,delta_plant_mean,delta_ratio_sun_over_plant,attn_mean_0,attn_mean_1,attn_mean_2,attn_mean_3,attn_mean_4,attn_mean_5,attn_mean_6,attn_mass_0_2,attn_mass_3_5,attn_mass_6
0,0,376,0.6686887741088867,0.0009319523232989013,0.7538513541221619,0.6437496542930603,0.6936278939247131,0.0012260613730177283,0.008085979148745537,0.1516278776119728,0.1399664282798767,0.14091140031814575,0.1409132033586502,0.14520695805549622,0.14404645562171936,0.1443144977092743,0.14464080333709717,0.4217910170555115,0.43356791138648987,0.14464080333709717
0,1,136,0.6605730652809143,0.0007850969559513032,0.0,0.6289668679237366,0.692179262638092,0.0010320114670321345,0.0,103201.14670321345,0.1416679322719574,0.14067980647087097,0.14059001207351685,0.14485320448875427,0.14353512227535248,0.14435988664627075,0.1443139761686325,0.4229377508163452,0.4327481985092163,0.1443139761686325
200,0,376,0.8702467083930969,0.2155960202217102,0.677250325679779,0.9614135026931763,0.7790800333023071,0.37177813053131104,0.6892917156219482,0.5393625321642378,0.11529561132192612,0.1311584711074829,0.1311337649822235,0.15394240617752075,0.17424076795578003,0.14539504051208496,0.14883381128311157,0.37758785486221313,0.47357821464538574,0.14883381128311157
200,1,136,0.17912045121192932,0.023410236462950706,0.0,0.35823991894721985,1.0003217312259949e-06,0.035927388817071915,0.0,3592738.8817071915,0.1344650685787201,0.11816209554672241,0.11670054495334625,0.1604713499546051,0.18225659430027008,0.15578854084014893,0.13215585052967072,0.36932772397994995,0.4985164999961853,0.13215585052967072
400,0,376,0.8469494581222534,0.28740033507347107,0.7571423649787903,2.3059065341949463,0.823961615562439,0.5974968075752258,0.824381411075592,0.7247819908358148,0.09208444505929947,0.11423887312412262,0.11320383846759796,0.1345769762992859,0.3471066355705261,0.10536710917949677,0.09342201054096222,0.31952714920043945,0.58705073595047,0.09342201054096222
400,1,136,0.0224766805768013,0.0011458175722509623,0.0,1.4489315748214722,1.000001930151484e-06,0.0020040953531861305,0.0,200409.53531861305,0.10788147896528244,0.08859872072935104,0.0861547663807869,0.14911232888698578,0.36503735184669495,0.13125568628311157,0.07195977121591568,0.282634973526001,0.6454053521156311,0.07195977121591568
600,0,376,0.8928723335266113,0.22321192920207977,0.7678134441375732,1.1213489770889282,0.8016826510429382,0.4935355484485626,0.7911002039909363,0.6238597079360885,0.12861129641532898,0.1242576390504837,0.12282256782054901,0.1720370650291443,0.32250744104385376,0.09911401569843292,0.030649926513433456,0.3756915330886841,0.5936585068702698,0.030649926513433456
600,1,136,0.10007025301456451,0.020934242755174637,0.0,0.3507945239543915,1.0000048860092647e-06,0.027129940688610077,0.0,2712994.0688610077,0.11359696090221405,0.11197929829359055,0.11115873605012894,0.19981108605861664,0.2948639988899231,0.14165809750556946,0.02693178877234459,0.33673498034477234,0.6363332271575928,0.02693178877234459
800,0,376,0.9034820199012756,0.17368870973587036,0.8208301663398743,0.9366466403007507,0.8807283639907837,0.489366739988327,0.836579442024231,0.5849614627806479,0.14398819208145142,0.11397860944271088,0.11122868955135345,0.20144228637218475,0.260065495967865,0.1489468663930893,0.02034979686141014,0.36919552087783813,0.6104546785354614,0.02034979686141014
800,1,136,0.06447384506464005,0.03019680269062519,0.0,0.15844695270061493,1.0000053407566156e-06,0.03079959563910961,0.0,3079959.563910961,0.0919867604970932,0.11580885946750641,0.11909236758947372,0.23979374766349792,0.21282124519348145,0.19861237704753876,0.021884623914957047,0.32688799500465393,0.6512273550033569,0.021884623914957047
