epoch,alpha,epsilon,dC,dM,d_cf,d_mono,d_att,d_self,self_f,self_g,Val_sem,self_mass,env_sum_tr,I_sum_tr,self_m_tr,corr_tr,env_sum_val,I_sum_val,self_m_val,corr_val,alpha_used,y_stat_mean,y_sem_mean,y_mix_mean,corr_stat,corr_sem,corr_mix,cf_s0_stat_mean,cf_s0_sem_mean,cf_s0_mix_mean,cf_p0_stat_mean,cf_p0_sem_mean,cf_p0_mix_mean,contrib_stat,contrib_sem
200,0.984488090082987,0.8301027379930019,0.3887087106704712,1.2188114486634731,1.2023308128118515,0.0006620278581976891,0.015171659179031849,0.0006469488143920898,0.14389050006866455,0.14453744888305664,7.134968280792236,0.14394943416118622,0.3760039508342743,0.48010557889938354,0.14389050006866455,0.8913061022758484,0.37574392557144165,0.4810631275177002,0.14319299161434174,0.9071030020713806,0.5,0.7783673405647278,0.5363498330116272,0.6573585271835327,0.9577576518058777,0.8913061022758484,0.926700234413147,0.6034339666366577,0.18411347270011902,0.39377373456954956,0.35809358954429626,1.0003368515754119e-06,0.17904731631278992,0.5920416712760925,0.40795832872390747
400,0.7147345744631439,0.18369823694229126,0.07510513812303543,0.2588033750653267,0.029946669936180115,0.013743661344051361,0.15856680274009705,0.05654624104499817,0.08734425902366638,0.14389050006866455,7.107434272766113,0.08781668543815613,0.31064528226852417,0.6020104885101318,0.08734425902366638,0.9229080677032471,0.30898043513298035,0.6046114563941956,0.08640819042921066,0.9364888072013855,0.984488090082987,2.0474579334259033,0.5701963305473328,0.5931114554405212,0.9634824395179749,0.9229080677032471,0.9242272973060608,1.8107383251190186,0.1541668027639389,0.17986337840557098,1.4489994049072266,1.000001930151484e-06,0.022477734833955765,0.05354809761047363,0.9464519023895264
600,0.5930925400280664,0.0753529304638505,0.02602231688797474,0.10137524735182524,0.015803515911102295,0.0055940644815564156,0.022305656224489212,0.057672010734677315,0.029672248288989067,0.08734425902366638,7.104917526245117,0.02966928668320179,0.36543118953704834,0.604896605014801,0.029672248288989067,0.9320715069770813,0.36331284046173096,0.607207179069519,0.0294800978153944,0.9461339116096497,0.7147345744631439,0.8898714184761047,0.5560094714164734,0.6512486934661865,0.9637904763221741,0.9320715069770813,0.9511916637420654,0.713223934173584,0.1383632868528366,0.3023511469364166,0.35130447149276733,1.0000051133829402e-06,0.10021572560071945,0.3897889256477356,0.6102110743522644
800,0.5398078219022509,0.03191380202770233,0.07148884236812592,0.10340264439582825,0.043711476027965546,0.008419385179877281,0.042490432038903236,0.008781351149082184,0.020890897139906883,0.029672248288989067,7.081439971923828,0.02091897279024124,0.35731786489486694,0.6217912435531616,0.020890897139906883,0.9566911458969116,0.3548519015312195,0.624197781085968,0.02095036208629608,0.9706866145133972,0.5930925400280664,0.7061522006988525,0.6200667023658752,0.6550955772399902,0.9655814170837402,0.9566911458969116,0.976714551448822,0.6027117967605591,0.09465181082487106,0.30138522386550903,0.1594858467578888,1.0000054544434533e-06,0.06489657610654831,0.438620924949646,0.561379075050354
1000,0.5153156695856473,0.012256369926035404,0.029420122504234314,0.04167649243026972,0.0172225683927536,0.00013009458780288696,0.01970869954675436,0.00461512990295887,0.016275767236948013,0.020890897139906883,7.072502136230469,0.016292240470647812,0.3485780358314514,0.6351462602615356,0.016275767236948013,0.9663811922073364,0.3470165431499481,0.6365845203399658,0.016398990526795387,0.9785575866699219,0.5398078219022509,0.6736888885498047,0.6409479379653931,0.6560150384902954,0.9655917882919312,0.9663811922073364,0.981231689453125,0.5875510573387146,0.07742924243211746,0.31218329071998596,0.0930335745215416,1.000002725959348e-06,0.04281385987997055,0.4725903272628784,0.5274096727371216
1200,0.49437597405952843,-0.0044994105119258165,0.018696654587984085,0.014197244076058269,0.009164683520793915,2.1813437342643738e-05,0.002156668109819293,0.002854079008102417,0.013421688228845596,0.016275767236948013,7.069122314453125,0.013443817384541035,0.33361881971359253,0.6529595255851746,0.013421690091490746,0.9703640341758728,0.33340418338775635,0.6530226469039917,0.013573200441896915,0.9812385439872742,0.5153156695856473,0.6654120087623596,0.6563954949378967,0.6607656478881836,0.9662650227546692,0.9703640341758728,0.9821215867996216,0.584139347076416,0.06826455891132355,0.3183010220527649,0.07052291929721832,1.0000015890909708e-06,0.0341818705201149,0.4880925416946411,0.5119074583053589
1400,0.45620838867094243,-0.0351232816465199,0.044853005558252335,0.009729723911732435,0.006403867155313492,9.493110701441765e-05,0.0006671706214547157,0.00256375502794981,0.010857933200895786,0.013421688228845596,7.064878463745117,0.010866648517549038,0.3341902494430542,0.6549518704414368,0.010857934132218361,0.9744035005569458,0.33404290676116943,0.654964804649353,0.010992302559316158,0.9837940335273743,0.49437597405952843,0.6521250605583191,0.6142738461494446,0.63341224193573,0.9675891399383545,0.9744035005569458,0.9835443496704102,0.5738474130630493,0.061860691756010056,0.3207334876060486,0.05870446562767029,1.0000013617172954e-06,0.029682882130146027,0.5205615162849426,0.4794384837150574
1600,0.5053063062561683,0.004245204385370016,0.007818974554538727,0.012064178939908743,0.007939014583826065,9.067123755812645e-05,0.0018006525933742523,0.002233840525150299,0.008624092675745487,0.010857933200895786,7.064597129821777,0.00862774346023798,0.33253157138824463,0.6588444113731384,0.008624093607068062,0.9762227535247803,0.33233654499053955,0.6589239239692688,0.008739573881030083,0.9848807454109192,0.45620838867094243,0.6506381630897522,0.6187143325805664,0.6360742449760437,0.9700440764427185,0.9762227535247803,0.9846462607383728,0.566445529460907,0.05392167717218399,0.3326278328895569,0.05153262987732887,1.0000009069699445e-06,0.02802346833050251,0.5562425553798676,0.44375744462013245
1800,0.47865553492334106,-0.017085955943912268,0.020446868613362312,0.0033609126694500446,0.0005163513123989105,0.0009270305745303631,0.0001649707555770874,0.0017525600269436836,0.006871532648801804,0.008624092675745487,7.0597429275512695,0.006884259637445211,0.3283194601535797,0.6648091077804565,0.006871532648801804,0.978600025177002,0.3280107378959656,0.6650187969207764,0.006970493122935295,0.9862210750579834,0.5053063062561683,0.6502530574798584,0.6383845806121826,0.6442558765411377,0.9714235663414001,0.978600025177002,0.9859890341758728,0.568688154220581,0.0544380284845829,0.3088343143463135,0.04777998477220535,1.000000679596269e-06,0.023636963218450546,0.49929869174957275,0.5007013082504272
2000,0.4946788907339067,-0.004257048130966723,0.013171647675335407,0.008914599544368684,0.007206086069345474,7.573375478386879e-05,0.00025761022698134184,0.0013751694932579994,0.005496363155543804,0.006871532648801804,7.060849189758301,0.005499440710991621,0.3248494267463684,0.6696542501449585,0.005496363155543804,0.9803192615509033,0.3243579864501953,0.670061469078064,0.005580578930675983,0.9873170256614685,0.47865553492334106,0.6482942700386047,0.6272987127304077,0.6382447481155396,0.974184513092041,0.9803192615509033,0.9870803952217102,0.5536520481109619,0.04723194241523743,0.3112512528896332,0.04287199303507805,1.0000004522225936e-06,0.02235155552625656,0.5295533537864685,0.4704466462135315
