event_epoch,pre_epoch,feature,pre,post,diff,zscore,abs_z
200,0,env__err_abs_max_island0,0.6349954009056091,0.1422810554504394,-0.49271434545516973,-3.5616726162671264,3.5616726162671264
200,0,env__err_abs_max_island1,0.0,0.5770224928855896,0.5770224928855896,4.094784158858599,4.094784158858599
200,0,env__err_abs_mean_island0,0.2585973230464813,0.0308542782800239,-0.2277430447664574,-3.340172990702793,3.340172990702793
200,0,env__err_abs_mean_island1,0.0,0.0689217303818017,0.0689217303818017,4.071946881936554,4.071946881936554
200,0,env__err_abs_min_island0,0.0054346323013305,0.0,-0.0054346323013305,-3.3166247903554,3.3166247903554
200,0,env__err_abs_min_island1,0.0,0.0,0.0,,
200,0,env__err_abs_p10_island0,0.1026704788208008,0.0,-0.1026704788208008,-3.3166247903553994,3.3166247903553994
200,0,env__err_abs_p10_island1,0.0,0.0,0.0,,
200,0,env__err_abs_p25_island0,0.2113866209983825,0.0,-0.2113866209983825,-3.3166247903554,3.3166247903554
200,0,env__err_abs_p25_island1,0.0,0.0,0.0,,
200,0,env__err_abs_p50_island0,0.2762588858604431,0.0192232131958007,-0.2570356726646424,-3.361638331062008,3.361638331062008
200,0,env__err_abs_p50_island1,0.0,0.0400606989860534,0.0400606989860534,4.263603676108773,4.263603676108773
200,0,env__err_abs_p75_island0,0.324873611330986,0.0529633164405822,-0.2719102948904038,-3.317784150725273,3.317784150725273
200,0,env__err_abs_p75_island1,0.0,0.1083578765392303,0.1083578765392303,4.074196176966074,4.074196176966074
200,0,env__err_abs_p90_island0,0.3578719139099121,0.0826035261154174,-0.2752683877944947,-3.310900040921941,3.310900040921941
200,0,env__err_abs_p90_island1,0.0,0.1848955154418945,0.1848955154418945,3.886678934672073,3.886678934672073
200,0,env__err_abs_std_island0,0.098747113862195,0.0339865721800203,-0.0647605416821747,-3.3492634167650754,3.3492634167650754
200,0,env__err_abs_std_island1,0.0,0.0903272385148623,0.0903272385148623,3.8566872858477614,3.8566872858477614
200,0,env__err_signed_max_island0,0.6349954009056091,0.1324885487556457,-0.5025068521499634,-3.4016021509368484,3.4016021509368484
200,0,env__err_signed_max_island1,0.0,0.5770224928855896,0.5770224928855896,4.094784158858599,4.094784158858599
200,0,env__err_signed_mean_island0,-0.2317065822487322,0.0124702662752385,0.2441768485239707,3.43935162385715,3.43935162385715
200,0,env__err_signed_mean_island1,0.0,-0.0065776209474135,-0.0065776209474135,-0.9412860906653541,0.9412860906653541
200,0,env__err_signed_min_island0,-0.4436671137809753,-0.1422810554504394,0.3013860583305359,3.607972293270442,3.607972293270442
200,0,env__err_signed_min_island1,0.0,-0.3137094378471374,-0.3137094378471374,-2.9722951815365097,2.9722951815365097
200,0,env__err_signed_p10_island0,-0.3541429877281189,-0.0379506587982177,0.31619232892990123,3.4679334741745995,3.4679334741745995
200,0,env__err_signed_p10_island1,0.0,-0.1401988625526428,-0.1401988625526428,-3.6305438778029204,3.6305438778029204
200,0,env__err_signed_p25_island0,-0.3205115795135498,0.0,0.3205115795135498,3.5166909302722433,3.5166909302722433
200,0,env__err_signed_p25_island1,0.0,-0.0553771257400512,-0.0553771257400512,-3.335362876737247,3.335362876737247
200,0,env__err_signed_p50_island0,-0.2698037624359131,0.0,0.2698037624359131,3.3162714953424453,3.3162714953424453
200,0,env__err_signed_p50_island1,0.0,0.0,0.0,,
200,0,env__err_signed_p75_island0,-0.203702837228775,0.0363454818725585,0.2400483191013335,3.4348783901156508,3.4348783901156508
200,0,env__err_signed_p75_island1,0.0,0.0110864043235778,0.0110864043235778,1.086457791420194,1.086457791420194
200,0,env__err_signed_p90_island0,-0.0485546588897705,0.0756557941436767,0.12421045303344719,3.3450794002243773,3.3450794002243773
200,0,env__err_signed_p90_island1,0.0,0.0999371647834777,0.0999371647834777,3.288865478138468,3.288865478138468
200,0,env__err_signed_std_island0,0.1514451310723821,0.044176532636158,-0.1072685984362241,-3.3802572560665047,3.3802572560665047
200,0,env__err_signed_std_island1,0.0,0.1134281703952539,0.1134281703952539,3.9368146407907894,3.9368146407907894
200,0,env__plant_max_island0,1.0,1.0,0.0,,
200,0,env__plant_max_island1,0.0,1.0,1.0,3.3166247903554,3.3166247903554
200,0,env__plant_mean_island0,1.0,0.6877192982456141,-0.31228070175438594,-3.695671529279371,3.695671529279371
200,0,env__plant_mean_island1,0.0,0.6475770925110133,0.6475770925110133,3.545730465846239,3.545730465846239
200,0,env__plant_min_island0,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__plant_min_island1,0.0,0.0,0.0,,
200,0,env__plant_p10_island0,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__plant_p10_island1,0.0,0.0,0.0,,
200,0,env__plant_p25_island0,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__plant_p25_island1,0.0,0.0,0.0,,
200,0,env__plant_p50_island0,1.0,1.0,0.0,,
200,0,env__plant_p50_island1,0.0,1.0,1.0,3.3166247903554,3.3166247903554
200,0,env__plant_p75_island0,1.0,1.0,0.0,,
200,0,env__plant_p75_island1,0.0,1.0,1.0,3.3166247903554,3.3166247903554
200,0,env__plant_p90_island0,1.0,1.0,0.0,,
200,0,env__plant_p90_island1,0.0,1.0,1.0,3.3166247903554,3.3166247903554
200,0,env__plant_std_island0,0.0,0.4634236345571665,0.4634236345571665,3.432815466178109,3.432815466178109
200,0,env__plant_std_island1,0.0,0.477724818034395,0.477724818034395,3.2396256503333865,3.2396256503333865
