epoch,alpha,epsilon,dC,dM,d_cf,d_mono,d_att,d_self,self_f,self_g,Val_sem,self_mass,env_sum_tr,I_sum_tr,self_m_tr,corr_tr,env_sum_val,I_sum_val,self_m_val,corr_val,alpha_used,y_stat_mean,y_sem_mean,y_mix_mean,corr_stat,corr_sem,corr_mix,cf_s0_stat_mean,cf_s0_sem_mean,cf_s0_mix_mean,cf_p0_stat_mean,cf_p0_sem_mean,cf_p0_mix_mean,contrib_stat,contrib_sem,alpha_used_pt,attn_PC1_mean,attn_PC2_mean,attn_self_mean,attn_I1_mean,attn_I2_mean,attn_I3_mean,attn_plant_mean,attn_sun_mean,attn_water_mean,phase
200,0.9882430632440588,0.8862970508635044,0.3863727748394012,1.2726698257029057,1.2297850847244265,0.0,0.0424723662436008,0.0004123747348785,0.1416310518980026,0.1420434266328811,6.477097034454346,0.1417203694581985,0.3565739393234253,0.5017950534820557,0.1416310518980026,0.8837190270423889,0.356122076511383,0.5022432804107666,0.1416346877813339,0.8860645890235901,0.5,0.794204592704773,0.5281202793121338,0.6611623764038086,0.964613139629364,0.8837190270423889,0.9309068918228148,0.6290990114212036,0.1880603581666946,0.4085797071456909,0.3425449132919311,1.000585484689509e-06,0.1712729632854461,0.6006123125553131,0.3993876874446869,0.5,0.03959815204143524,0.09470635652542114,0.14161649346351624,0.18632198870182037,0.18256913125514984,0.13362003862857819,0.11518117040395737,0.12080457806587219,0.11988677084445953,PRE
400,0.605385799229224,0.0855914717540144,0.0557461343705654,0.1413376061245799,0.0084130018949508,0.0010840771719813,0.0764809921383857,0.0553595349192619,0.0862715169787406,0.1416310518980026,6.427229881286621,0.0868826806545257,0.3337198197841644,0.5800086855888367,0.0862715169787406,0.9191805720329284,0.3332107663154602,0.5806025862693787,0.0861867293715477,0.9231940507888794,0.9882430632440588,3.490052461624145,0.5524923205375671,0.5870290994644165,0.9637638926506042,0.9191805720329284,0.9213780760765076,3.1614038944244385,0.1796473562717437,0.2147036790847778,2.476829767227173,1.0000179599956027e-06,0.0291209202259778,0.069898247718811,0.930101752281189,0.9882430632440588,0.11704602837562561,-0.014930138364434242,0.08605675399303436,0.3051784038543701,0.17918694019317627,0.09695284068584442,0.11021620780229568,0.11133897304534912,0.11106972396373749,PRE
600,0.5869600614294009,0.0702824974432587,0.0304004605859518,0.1006829580292105,0.0321962982416152,0.0102291759103536,0.0097964005544781,0.0484610833227634,0.0378104336559772,0.0862715169787406,6.43297290802002,0.0380971692502498,0.343762069940567,0.6184275150299072,0.0378104336559772,0.9222895503044128,0.3431718945503235,0.6191034317016602,0.0377246960997581,0.9262565970420836,0.605385799229224,0.9194774627685548,0.5294813513755798,0.6833792924880981,0.9626816511154176,0.9222895503044128,0.94969642162323,0.7231825590133667,0.1474510580301284,0.3746428489685058,0.4188744723796844,1.0000105703511508e-06,0.1652944386005401,0.5309478938579559,0.469052106142044,0.605385799229224,0.11355084180831909,-0.0714753121137619,0.03763484209775925,0.3272171914577484,0.21353241801261902,0.07913295179605484,0.11712342500686646,0.11257535219192505,0.11278362572193146,PRE
800,0.5093528561483388,0.0074831577949225,0.0397770628333091,0.0472602206282317,0.0082804560661315,0.0056593506596982,0.0254379883408546,0.0078824255615472,0.0299280080944299,0.0378104336559772,6.422484874725342,0.0299341063946485,0.3465552628040313,0.6235167980194092,0.0299280080944299,0.9186891317367554,0.3458904027938843,0.6242664456367493,0.0298432148993015,0.9234315752983092,0.5869600614294009,0.7836159467697144,0.5685024857521057,0.657352864742279,0.9646745324134828,0.9186891317367554,0.9624767899513244,0.6892616152763367,0.1391706019639969,0.3663802146911621,0.2307080328464508,1.0000215979744098e-06,0.095292218029499,0.4923757910728454,0.5076242089271545,0.5869600614294009,0.045530807226896286,-0.05525314062833786,0.029784806072711945,0.26927804946899414,0.24983666837215424,0.10570131242275238,0.1191830039024353,0.11306746304035187,0.11314912885427475,PRE
1000,0.5140855481604467,0.0112714208662509,0.0341474786400795,0.0454188995063304,0.0204214230179786,0.0003346446901559,0.0243969447910785,0.0002658870071172,0.0296621210873127,0.0299280080944299,6.407238006591797,0.0296708270907402,0.3415215909481048,0.6288163065910339,0.0296621210873127,0.9253692626953124,0.3407864570617676,0.6296354532241821,0.0295780915766954,0.9305566549301147,0.5093528561483388,0.7083978652954102,0.6010628938674927,0.6537264585494995,0.9606118202209472,0.9253692626953124,0.974461317062378,0.6559352278709412,0.1187491789460182,0.3823179602622986,0.1222621649503707,1.0000612746807749e-06,0.059988085180521,0.5316801369190216,0.4683198630809784,0.5093528561483388,-0.007376042660325766,-0.029849033802747726,0.029540283605456352,0.2285565733909607,0.24883833527565002,0.1524127721786499,0.11714841425418854,0.11211660504341125,0.11138718575239182,MID
1200,0.5096362566542892,0.0077099599875509,0.041254173964262,0.0489641339518129,0.0241762772202491,0.0075411149300634,0.014111753553152,0.0031349882483482,0.0265271328389644,0.0296621210873127,6.37837028503418,0.0265467800199985,0.3346673846244812,0.6388055086135864,0.0265271365642547,0.9473156929016112,0.3339212238788605,0.6396287083625793,0.0264500994235277,0.9520055651664734,0.5140855481604467,0.6769735217094421,0.6220054030418396,0.6487151384353638,0.9597267508506776,0.9473156929016112,0.9805344343185424,0.6404958963394165,0.094572901725769,0.3598447442054748,0.0782092064619064,1.000238739834458e-06,0.0380035005509853,0.5070810914039612,0.4929189085960388,0.5140855481604467,-0.05201832577586174,-0.013556042686104774,0.02640313282608986,0.1974877268075943,0.25018346309661865,0.19186042249202728,0.11522268503904343,0.11003816872835159,0.10880444198846817,POST
1400,0.4842338138902881,-0.0126171316951513,0.0420164763927459,0.0293993446975946,0.0151787996292114,0.0057760076597332,0.00448262039572,0.0039619170129299,0.0225652158260345,0.0265271328389644,6.347994327545166,0.0225907675921916,0.32828089594841,0.6491539478302002,0.0225652158260345,0.9681195616722108,0.3275626003742218,0.6499401926994324,0.022497285157442,0.9723905324935912,0.5096362566542892,0.6645813584327698,0.6458136439323425,0.6550166606903076,0.9685433506965636,0.9681195616722108,0.984527051448822,0.6032015681266785,0.0793941020965576,0.3362502455711365,0.0563879087567329,1.000251472760283e-06,0.0276510939002037,0.4975241422653198,0.5024758577346802,0.5096362566542892,-0.07468964904546738,-0.007094344589859247,0.022439874708652496,0.18613748252391815,0.24460726976394653,0.21895483136177063,0.11385694146156311,0.10764418542385101,0.10635925084352493,POST
1600,0.4625871391131399,-0.0299863358959555,0.0461332947015762,0.0161469588056206,0.0120851397514343,0.0006916685961186,0.0001022308133542,0.0032679196447134,0.0192972961813211,0.0225652158260345,6.34116268157959,0.0193070955574512,0.3269309997558594,0.6537717580795288,0.0192972980439662,0.9735360145568848,0.3262326419353485,0.6545299291610718,0.0192375071346759,0.9774723052978516,0.4842338138902881,0.6573973894119263,0.6095675230026245,0.6342365741729736,0.9762632250785828,0.9735360145568848,0.985182285308838,0.5456097722053528,0.0673089623451232,0.3140003681182861,0.0466432683169841,1.0000961765399552e-06,0.0240575056523084,0.5346007347106934,0.4653992652893066,0.4842338138902881,-0.07539473474025726,-0.012244109995663166,0.019184116274118423,0.18805864453315735,0.248711958527565,0.21749186515808105,0.11409822851419449,0.10671506077051163,0.10573992878198624,POST
1800,0.482599138029986,-0.0139263137243688,0.0197351425886154,0.0058088288642466,0.0019437074661254,0.0002346965484321,0.000372570939362,0.0032578539103269,0.0160394422709941,0.0192972961813211,6.339237689971924,0.0160505454987287,0.3251250088214874,0.6588355898857117,0.0160394441336393,0.97611004114151,0.3244581222534179,0.6595558524131775,0.0159860830754041,0.9797465801239014,0.4625871391131399,0.6535727977752686,0.6291267275810242,0.6422644257545471,0.9787061810493468,0.97611004114151,0.985767126083374,0.5247235298156738,0.0653652548789978,0.3122302889823913,0.0403271131217479,1.0000486554417876e-06,0.0216727685183286,0.5468751192092896,0.4531248807907104,0.4625871391131399,-0.07026104629039764,-0.01866932585835457,0.01593787409365177,0.19611206650733948,0.24680379033088684,0.21640518307685852,0.11474628001451492,0.10522966831922531,0.10476516932249069,POST
2000,0.482869625086067,-0.0137096657417714,0.0243923645466566,0.0106826988048851,0.0074074044823646,0.0003571901470422,0.0001952820457518,0.0027228221297264,0.0133166201412677,0.0160394422709941,6.342125415802002,0.0133185526356101,0.325017899274826,0.6616654992103577,0.0133166201412677,0.9773483276367188,0.3243708312511444,0.6623613238334656,0.013267925940454,0.9807396531105042,0.482599138029986,0.653196394443512,0.6061145067214966,0.6304747462272644,0.9797874689102172,0.9773483276367188,0.9862375259399414,0.5172837972640991,0.0579578503966331,0.2956134676933288,0.0357847101986408,1.000030124487239e-06,0.0185155235230922,0.5360474586486816,0.4639525413513183,0.48259913802998605,-0.06730003654956818,-0.022177232429385185,0.013224875554442406,0.20121344923973083,0.24375537037849426,0.21714083850383759,0.11623317003250122,0.1041693165898323,0.10426278412342072,POST
