sample,dwell_max_steps,dwell_mean_steps
402,11,11.0
403,8,3.6666666666666665
404,11,11.0
405,11,11.0
406,11,11.0
407,8,3.6666666666666665
408,9,3.6666666666666665
409,8,3.6666666666666665
410,8,3.6666666666666665
411,9,3.6666666666666665
412,9,3.6666666666666665
413,11,11.0
414,11,11.0
415,8,3.6666666666666665
416,11,11.0
417,9,3.6666666666666665
418,9,3.6666666666666665
419,8,3.6666666666666665
420,8,3.6666666666666665
421,8,3.6666666666666665
422,11,11.0
423,11,11.0
424,8,3.6666666666666665
425,8,3.6666666666666665
426,8,3.6666666666666665
427,11,11.0
428,8,3.6666666666666665
429,8,3.6666666666666665
430,11,11.0
431,8,3.6666666666666665
432,11,11.0
433,9,3.6666666666666665
434,8,3.6666666666666665
435,9,3.6666666666666665
436,7,2.75
437,9,3.6666666666666665
438,7,2.75
439,8,3.6666666666666665
440,9,3.6666666666666665
441,11,11.0
442,11,11.0
443,11,11.0
444,8,3.6666666666666665
445,8,3.6666666666666665
446,11,11.0
447,11,11.0
448,8,3.6666666666666665
449,11,11.0
450,11,11.0
451,9,3.6666666666666665
452,11,11.0
453,11,11.0
454,9,3.6666666666666665
455,11,11.0
456,8,2.75
457,9,3.6666666666666665
458,9,3.6666666666666665
459,9,3.6666666666666665
460,11,11.0
461,9,3.6666666666666665
462,11,11.0
463,11,11.0
464,11,11.0
465,11,11.0
466,9,3.6666666666666665
467,8,3.6666666666666665
468,11,11.0
469,11,11.0
470,11,11.0
471,9,3.6666666666666665
472,11,11.0
473,11,11.0
474,11,11.0
475,8,3.6666666666666665
476,8,3.6666666666666665
477,8,3.6666666666666665
478,9,3.6666666666666665
479,8,3.6666666666666665
480,8,3.6666666666666665
481,8,3.6666666666666665
482,8,3.6666666666666665
483,11,11.0
484,11,11.0
485,8,3.6666666666666665
486,11,11.0
487,8,3.6666666666666665
488,9,3.6666666666666665
489,11,11.0
490,8,3.6666666666666665
491,8,3.6666666666666665
492,8,3.6666666666666665
493,11,11.0
494,8,3.6666666666666665
495,11,11.0
496,11,11.0
497,8,3.6666666666666665
498,11,11.0
499,9,3.6666666666666665
500,8,3.6666666666666665
501,11,11.0
502,9,3.6666666666666665
503,8,3.6666666666666665
504,11,11.0
505,8,3.6666666666666665
506,7,2.75
507,5,2.75
508,11,11.0
509,5,2.75
510,11,11.0
511,8,3.6666666666666665
