,ref_c0,ref_c1,ref_c2
tgt_c0,44157193.80025956,46946193.4855083,45594898.78607162
tgt_c1,43875559.3023894,46664553.20255268,45313254.1415761
tgt_c2,46254077.15329601,49043065.41268543,47691776.82670589
