,ref_c0,ref_c1,ref_c2
tgt_c0,788316.7183263692,11691865.987007812,11636434.235923618
tgt_c1,14253356.688046409,4678135.647254959,18964263.894515574
tgt_c2,12296589.132508028,13807285.4155196,2143375.20172482
