,ref_c0,ref_c1,ref_c2
tgt_c0,41536927.961370975,44325926.95288118,42974631.64044696
tgt_c1,45789325.23036032,48578319.58366945,47227026.299078375
tgt_c2,47903719.98116551,50692708.11975823,49341418.05076526
