,ref_c0,ref_c1,ref_c2
tgt_c0,36313622.91526498,39102620.467386134,37751326.03031547
tgt_c1,38899010.18678875,41688001.768094525,40336709.17069769
tgt_c2,42764981.198592894,45553973.44327182,44202680.83796025
