run,tgt_cluster,ref_cluster,distance
2,0,0,36313622.91526498
2,1,1,41688001.768094525
2,2,2,44202680.83796025
3,0,0,41536927.961370975
3,2,1,50692708.11975823
3,1,2,47227026.299078375
4,0,0,44157193.80025956
4,2,1,49043065.41268543
4,1,2,45313254.1415761
5,0,0,788316.7183263692
5,1,1,4678135.647254959
5,2,2,2143375.20172482
