epoch,island,n,plant_mean,plant_std,plant_min,plant_p10,plant_p25,plant_p50,plant_p75,plant_p90,plant_max,sun_mean,sun_std,sun_min,sun_p10,sun_p25,sun_p50,sun_p75,sun_p90,sun_max,water_mean,water_std,water_min,water_p10,water_p25,water_p50,water_p75,water_p90,water_max,err_abs_mean,err_abs_std,err_abs_min,err_abs_p10,err_abs_p25,err_abs_p50,err_abs_p75,err_abs_p90,err_abs_max,err_signed_mean,err_signed_std,err_signed_min,err_signed_p10,err_signed_p25,err_signed_p50,err_signed_p75,err_signed_p90,err_signed_max
0,0,343,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4992347999147354,0.2834259767508612,0.010521531105041504,0.08612402677536012,0.26959311962127686,0.5137163400650024,0.739905834197998,0.8839861035346985,0.9994750022888184,0.5079875875144936,0.2885771869047318,0.002314627170562744,0.12116247415542603,0.25979769229888916,0.518382728099823,0.7642202377319336,0.9089372277259827,0.9975926876068115,0.2585973230464813,0.09874711386219505,0.005434632301330566,0.1026704788208008,0.21138662099838257,0.2762588858604431,0.324873611330986,0.35787191390991213,0.6349954009056091,-0.23170658224873222,0.15144513107238214,-0.44366711378097534,-0.3541429877281189,-0.3205115795135498,-0.2698037624359131,-0.20370283722877502,-0.04855465888977051,0.6349954009056091
0,1,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48548072012218496,0.28838700301834796,0.0075133442878723145,0.10617606639862061,0.24856138229370117,0.46736907958984375,0.7300479412078857,0.8893880963325501,0.9938310980796814,0.5045703392057024,0.2801771365743371,0.001928091049194336,0.10722837448120118,0.27051448822021484,0.4923883080482483,0.7515642642974854,0.8898218035697937,0.9998987317085266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0,285,0.6877192982456141,0.4634236345571665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7135149736153452,0.15879470770548093,0.4234471917152405,0.5055813789367676,0.5713297724723816,0.7164892554283142,0.8492171168327332,0.9398048281669616,0.9994750022888184,0.5026714264300831,0.28689569639641666,0.001928091049194336,0.12666540145874022,0.2659744620323181,0.4852808713912964,0.776055634021759,0.9007914066314697,0.9910451769828796,0.030854278280023944,0.03398657218002037,0.0,0.0,0.0,0.01922321319580078,0.052963316440582275,0.08260352611541748,0.14228105545043945,0.012470266275238572,0.044176532636158075,-0.14228105545043945,-0.037950658798217775,0.0,0.0,0.036345481872558594,0.07565579414367675,0.13248854875564575
200,1,227,0.6475770925110133,0.47772481803439504,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.21996480436577145,0.12704398695239513,0.0075133442878723145,0.047249126434326175,0.10149282217025757,0.23729068040847778,0.3288189172744751,0.3935907959938049,0.4828416705131531,0.5121179440998296,0.2844133830283571,0.010017216205596924,0.11546335220336915,0.266745001077652,0.5561546683311462,0.7291173040866852,0.910742211341858,0.9998987317085266,0.06892173038180179,0.09032723851486237,0.0,0.0,0.0,0.04006069898605347,0.10835787653923035,0.18489551544189453,0.5770224928855896,-0.006577620947413507,0.11342817039525394,-0.31370943784713745,-0.14019886255264283,-0.05537712574005127,0.0,0.01108640432357788,0.09993716478347779,0.5770224928855896
400,0,282,0.7340425531914894,0.4418416948360678,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7139448371339352,0.16107520377722118,0.41032570600509644,0.5045797526836395,0.5739835053682327,0.7179786562919617,0.8497445285320282,0.9399219691753388,0.9994750022888184,0.48973931086824296,0.2912277873007347,0.001928091049194336,0.10262578725814822,0.23725074529647827,0.47925716638565063,0.770636186003685,0.8967499911785126,0.985252857208252,0.03405662250856981,0.03549910207945852,0.0,0.0,0.0,0.0270959734916687,0.05683670938014984,0.08072901964187622,0.19287890195846558,-0.018851862308826853,0.045438387654361964,-0.19287890195846558,-0.07583816051483154,-0.04723116755485535,-0.00199282169342041,0.0,0.03403846621513367,0.12706142663955688
400,1,230,0.591304347826087,0.4915928356557415,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2258753652157991,0.13411203991150927,0.0075133442878723145,0.04795665740966797,0.10229586064815521,0.2390880584716797,0.33122609555721283,0.3979140162467956,0.5288432836532593,0.5278506268625675,0.27764687294094337,0.012309610843658447,0.13254011273384095,0.289577454328537,0.5588266253471375,0.7474862784147263,0.9120178699493408,0.9998987317085266,0.058597721224245815,0.08537381876629116,0.0,0.0,0.0,0.013986766338348389,0.0923299789428711,0.1761919260025024,0.4356486201286316,-0.006780127338741136,0.10332672324565613,-0.3922445774078369,-0.14369649291038514,-0.01064862310886383,0.0,0.016484618186950684,0.10289260149002075,0.4356486201286316
600,0,282,0.7340425531914894,0.4418416948360678,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7139448371339352,0.16107520377722118,0.41032570600509644,0.5045797526836395,0.5739835053682327,0.7179786562919617,0.8497445285320282,0.9399219691753388,0.9994750022888184,0.48973931086824296,0.2912277873007347,0.001928091049194336,0.10262578725814822,0.23725074529647827,0.47925716638565063,0.770636186003685,0.8967499911785126,0.985252857208252,0.03004122604715063,0.03202622994239574,0.0,0.0,0.0,0.02075234055519104,0.04802274703979492,0.07349126935005189,0.18395495414733887,-0.002060446967469885,0.04386238964116582,-0.18395495414733887,-0.05731797218322754,-0.024434715509414673,0.0,0.016315266489982605,0.05451735854148865,0.13978224992752075
600,1,230,0.591304347826087,0.4915928356557415,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2258753652157991,0.13411203991150927,0.0075133442878723145,0.04795665740966797,0.10229586064815521,0.2390880584716797,0.33122609555721283,0.3979140162467956,0.5288432836532593,0.5278506268625675,0.27764687294094337,0.012309610843658447,0.13254011273384095,0.289577454328537,0.5588266253471375,0.7474862784147263,0.9120178699493408,0.9998987317085266,0.049985159350478134,0.0744074713181036,0.0,0.0,0.0,0.01707535982131958,0.0726793110370636,0.14093629717826842,0.4549439251422882,0.005298578091289686,0.08948135567512153,-0.3437564969062805,-0.07025518417358398,-0.01610925793647766,0.0,0.020604833960533142,0.10228610038757323,0.4549439251422882
800,0,287,0.7317073170731707,0.4430707835264622,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7094118466360644,0.16343585676078115,0.40162479877471924,0.5001158595085144,0.5657030940055847,0.7164413928985596,0.8473277986049652,0.939726734161377,0.9994750022888184,0.49314237824715806,0.29078882503953907,0.001928091049194336,0.11030435562133792,0.24300086498260498,0.4820547103881836,0.7720926403999329,0.8974460363388062,0.985252857208252,0.0330827753302943,0.03526891912873957,0.0,0.0,0.0,0.025286197662353516,0.051901161670684814,0.08531587123870851,0.21014177799224854,-0.014373729660951302,0.046171014453856116,-0.21014177799224854,-0.07372218370437622,-0.0400925874710083,0.0,0.00473099946975708,0.03965715169906624,0.1275351643562317
800,1,225,0.5911111111111111,0.49162868654310526,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.22081145816379122,0.13088424124116166,0.0075133442878723145,0.046777439117431645,0.10078322887420654,0.23509645462036133,0.3266420364379883,0.38598426580429074,0.5170056819915771,0.5243567434946695,0.27841263411075,0.012309610843658447,0.13201860189437867,0.28650200366973877,0.5565789937973022,0.735252320766449,0.913601803779602,0.9998987317085266,0.050856879154841106,0.07248831762811998,0.0,0.0,0.0,0.021812617778778076,0.07317745685577393,0.1494170069694519,0.43246546387672424,-0.00310716536309984,0.0884947674912572,-0.36214375495910645,-0.09592125415802003,-0.03701525926589966,0.0,0.008956432342529297,0.07865638732910156,0.43246546387672424
